 Branch:,           1 , # of structures:,          23  outlet temperatures
      JDAY,      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,
  213.4170,    -99.00,    -99.00,    -99.00,    -99.00,     16.74,     13.66,     12.02,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.67,    -99.00,      8.47,      7.91,      7.41,      6.98,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  213.4605,    -99.00,    -99.00,    -99.00,    -99.00,     16.71,     13.65,     12.01,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.63,    -99.00,      8.47,      7.91,      7.41,      6.98,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  213.5014,    -99.00,    -99.00,    -99.00,    -99.00,     16.59,     13.56,     11.95,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.49,    -99.00,      8.47,      7.91,      7.41,      6.98,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  213.5442,    -99.00,    -99.00,    -99.00,    -99.00,     16.52,     13.54,     11.93,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.39,    -99.00,      8.47,      7.91,      7.41,      6.98,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  213.5855,    -99.00,    -99.00,    -99.00,    -99.00,     16.59,     13.62,     11.97,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.46,    -99.00,      8.47,      7.91,      7.41,      6.98,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  213.6272,    -99.00,    -99.00,    -99.00,    -99.00,     16.53,     13.42,     11.83,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.45,    -99.00,      8.43,      7.88,      7.38,      6.96,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  213.6692,    -99.00,    -99.00,    -99.00,    -99.00,     16.68,     13.51,     11.88,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.62,    -99.00,      8.44,      7.89,      7.39,      6.97,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  213.7105,    -99.00,    -99.00,    -99.00,    -99.00,     16.67,     13.53,     11.94,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.62,    -99.00,      8.47,      7.91,      7.42,      6.98,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  213.7523,    -99.00,    -99.00,    -99.00,    -99.00,     16.59,     13.54,     11.99,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.52,    -99.00,      8.51,      7.94,      7.45,      6.99,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  213.7942,    -99.00,    -99.00,    -99.00,    -99.00,     16.36,     13.34,     11.87,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.29,    -99.00,      8.49,      7.93,      7.43,      6.99,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
